stocfl,stocsu,stocsc
"dCBOD5T   ","CBOD5     ",  -1.00000
"dCBOD5_2T ","CBOD5_2   ",  -1.00000
"dCBOD5_3T ","CBOD5_3   ",  -1.00000
"dCBODOXYT ","OXY       ",  -1.00000
"dCnvPPOC1 ","POC1      ",  -1.00000
"dCnvPPOC1 ","POC2      ",   1.00000
"dCnvPPON1 ","PON1      ",  -1.00000
"dCnvPPON1 ","PON2      ",   1.00000
"dCnvPPOP1 ","POP1      ",  -1.00000
"dCnvPPOP1 ","POP2      ",   1.00000
"dCnvPPOS1 ","POS1      ",  -1.00000
"dCnvPPOS1 ","POS2      ",   1.00000
"dCnvDPOC1 ","POC1      ",  -1.00000
"dCnvDPOC1 ","DOC       ",   1.00000
"dCnvDPON1 ","PON1      ",  -1.00000
"dCnvDPON1 ","DON       ",   1.00000
"dCnvDPOP1 ","POP1      ",  -1.00000
"dCnvDPOP1 ","DOP       ",   1.00000
"dCnvDPOS1 ","POS1      ",  -1.00000
"dCnvDPOS1 ","DOS       ",   1.00000
"dMinPOC1G ","POC1      ",  -1.00000
"dMinPON1  ","PON1      ",  -1.00000
"dMinPON1  ","NH4       ",   1.00000
"dMinPOP1  ","POP1      ",  -1.00000
"dMinPOP1  ","PO4       ",   1.00000
"dMinPOS1  ","POS1      ",  -1.00000
"dMinPOS1  ","SUD       ",   1.00000
"dCnvPPOC2 ","POC2      ",  -1.00000
"dCnvPPOC2 ","POC3      ",   1.00000
"dCnvPPON2 ","PON2      ",  -1.00000
"dCnvPPON2 ","PON3      ",   1.00000
"dCnvPPOP2 ","POP2      ",  -1.00000
"dCnvPPOP2 ","POP3      ",   1.00000
"dCnvPPOS2 ","POS2      ",  -1.00000
"dCnvPPOS2 ","POS3      ",   1.00000
"dCnvDPOC2 ","POC2      ",  -1.00000
"dCnvDPOC2 ","DOC       ",   1.00000
"dCnvDPON2 ","PON2      ",  -1.00000
"dCnvDPON2 ","DON       ",   1.00000
"dCnvDPOP2 ","POP2      ",  -1.00000
"dCnvDPOP2 ","DOP       ",   1.00000
"dCnvDPOS2 ","POS2      ",  -1.00000
"dCnvDPOS2 ","DOS       ",   1.00000
"dMinPOC2G ","POC2      ",  -1.00000
"dMinPON2  ","PON2      ",  -1.00000
"dMinPON2  ","NH4       ",   1.00000
"dMinPOP2  ","POP2      ",  -1.00000
"dMinPOP2  ","PO4       ",   1.00000
"dMinPOS2  ","POS2      ",  -1.00000
"dMinPOS2  ","SUD       ",   1.00000
"dCnvPPOC3 ","POC3      ",  -1.00000
"dCnvPPOC3 ","POC4      ",   1.00000
"dCnvPPON3 ","PON3      ",  -1.00000
"dCnvPPON3 ","PON4      ",   1.00000
"dCnvPPOP3 ","POP3      ",  -1.00000
"dCnvPPOP3 ","POP4      ",   1.00000
"dCnvPPOS3 ","POS3      ",  -1.00000
"dCnvPPOS3 ","POS4      ",   1.00000
"dCnvDPOC3 ","POC3      ",  -1.00000
"dCnvDPOC3 ","DOC       ",   1.00000
"dCnvDPON3 ","PON3      ",  -1.00000
"dCnvDPON3 ","DON       ",   1.00000
"dCnvDPOP3 ","POP3      ",  -1.00000
"dCnvDPOP3 ","DOP       ",   1.00000
"dCnvDPOS3 ","POS3      ",  -1.00000
"dCnvDPOS3 ","DOS       ",   1.00000
"dMinPOC3G ","POC3      ",  -1.00000
"dMinPON3  ","PON3      ",  -1.00000
"dMinPON3  ","NH4       ",   1.00000
"dMinPOP3  ","POP3      ",  -1.00000
"dMinPOP3  ","PO4       ",   1.00000
"dMinPOS3  ","POS3      ",  -1.00000
"dMinPOS3  ","SUD       ",   1.00000
"dMinPOC4G ","POC4      ",  -1.00000
"dMinPON4  ","PON4      ",  -1.00000
"dMinPON4  ","NH4       ",   1.00000
"dMinPOP4  ","POP4      ",  -1.00000
"dMinPOP4  ","PO4       ",   1.00000
"dMinPOS4  ","POS4      ",  -1.00000
"dMinPOS4  ","SUD       ",   1.00000
"dMinDOCG  ","DOC       ",  -1.00000
"dMinDON   ","DON       ",  -1.00000
"dMinDON   ","NH4       ",   1.00000
"dMinDOP   ","DOP       ",  -1.00000
"dMinDOP   ","PO4       ",   1.00000
"dMinDOS   ","DOS       ",  -1.00000
"dMinDOS   ","SUD       ",   1.00000
"dCnvPPOC5 ","POC5      ",  -1.00000
"dCnvPPOC5 ","POC4      ",   1.00000
"dCnvPPON5 ","PON5      ",  -1.00000
"dCnvPPON5 ","PON4      ",   1.00000
"dCnvPPOP5 ","POP5      ",  -1.00000
"dCnvPPOP5 ","POP4      ",   1.00000
"dCnvPPOS5 ","POS5      ",  -1.00000
"dCnvPPOS5 ","POS4      ",   1.00000
"dCnvDPOC5 ","POC5      ",  -1.00000
"dCnvDPOC5 ","DOC       ",   1.00000
"dCnvDPON5 ","PON5      ",  -1.00000
"dCnvDPON5 ","DON       ",   1.00000
"dCnvDPOP5 ","POP5      ",  -1.00000
"dCnvDPOP5 ","DOP       ",   1.00000
"dCnvDPOS5 ","POS5      ",  -1.00000
"dCnvDPOS5 ","DOS       ",   1.00000
"dMinPOC5G ","POC5      ",  -1.00000
"dMinPON5  ","PON5      ",  -1.00000
"dMinPON5  ","NH4       ",   1.00000
"dMinPOP5  ","POP5      ",  -1.00000
"dMinPOP5  ","PO4       ",   1.00000
"dMinPOS5  ","POS5      ",  -1.00000
"dMinPOS5  ","SUD       ",   1.00000
"dMinPOC5E ","POC5      ",  -1.00000
"dMinPOC5E ","OXY       ",  -2.67000
"dMinPOC5E ","TIC       ",   1.00000
"dMinPOC5E ","H2O       ",   1.50000
"dMinPOC5A ","OXY       ",   2.67000
"dMinPOC5A ","TIC       ",  -1.00000
"dPrecipPO4","PO4       ",  -1.00000
"dPrecipPO4","VIVP      ",   1.00000
"dDissolPO4","PO4       ",   1.00000
"dDissolPO4","VIVP      ",  -1.00000
"dDissolSi ","Si        ",   1.00000
"dDissolSi ","Opal      ",  -1.00000
"dSOD      ","SOD       ",  -1.00000
"dOxSOD    ","OXY       ",  -1.00000
"dPPGreen  ","OXY       ",   2.67000
"dPPGreen  ","TIC       ",  -1.00000
"dPPGreen  ","H2O       ",  -1.50000
"dPPGreen  ","Green     ",   1.00000
"dMrtGreen ","Green     ",  -1.00000
"dPPDiat   ","OXY       ",   2.67000
"dPPDiat   ","TIC       ",  -1.00000
"dPPDiat   ","H2O       ",  -1.50000
"dPPDiat   ","Diat      ",   1.00000
"dMrtDiat  ","Diat      ",  -1.00000
"dPPDiatS1 ","OXY       ",   2.67000
"dPPDiatS1 ","TIC       ",  -1.00000
"dPPDiatS1 ","H2O       ",  -1.50000
"dPPDiatS1 ","DiatS1    ",   1.00000
"dMrtDiatS1","DiatS1    ",  -1.00000
"dNH4UptS1 ","NH4       ",  -1.00000
"dNH4UptS1 ","H+        ",   0.07100
"dNH4UptS1 ","ALKA      ",  -4.35700
"dNO3UptS1 ","NO3       ",  -1.00000
"dNO3UptS1 ","OXY       ",   4.57100
"dNO3UptS1 ","H+        ",  -0.07100
"dNO3UptS1 ","ALKA      ",   4.35700
"dNO3UptS1 ","H2O       ",  -1.28600
"dPO4UptS1 ","PO4       ",  -1.00000
"dPO4UptS1 ","H+        ",  -0.03200
"dPO4UptS1 ","ALKA      ",   1.96800
"dSiUptS1  ","Si        ",  -1.00000
"dNH4US1D  ","NH4       ",  -1.00000
"dNH4US1D  ","H+        ",   0.07100
"dNH4US1D  ","ALKA      ",  -4.35700
"dPO4US1D  ","PO4       ",  -1.00000
"dPO4US1D  ","H+        ",  -0.03200
"dPO4US1D  ","ALKA      ",   1.96800
"dSiUS1D   ","Si        ",  -1.00000
"dcPPGreen ","OXY       ",   2.67000
"dcPPGreen ","TIC       ",  -1.00000
"dcPPGreen ","H2O       ",  -1.50000
"dcPPGreen ","Green     ",   1.00000
"dcPPDiat  ","OXY       ",   2.67000
"dcPPDiat  ","TIC       ",  -1.00000
"dcPPDiat  ","H2O       ",  -1.50000
"dcPPDiat  ","Diat      ",   1.00000
"dMortDetC ","POC1      ",   1.00000
"dMortOOC  ","POC2      ",   1.00000
"dNH4Aut   ","NH4       ",   1.00000
"dNH4Aut   ","H+        ",  -0.07100
"dNH4Aut   ","ALKA      ",   4.35700
"dMortDetN ","PON1      ",   1.00000
"dMortOON  ","PON2      ",   1.00000
"dPO4Aut   ","PO4       ",   1.00000
"dPO4Aut   ","H+        ",   0.03200
"dPO4Aut   ","ALKA      ",  -1.96800
"dMortDetP ","POP1      ",   1.00000
"dMortOOP  ","POP2      ",   1.00000
"dMortDetSi","Opal      ",   1.00000
"dMortOOSi ","Opal      ",   1.00000
"dMrtDetCS1","DetCS1    ",   1.00000
"dMrtOOCS1 ","OOCS1     ",   1.00000
"dNH4AUTS1 ","NH4       ",   1.00000
"dNH4AUTS1 ","H+        ",  -0.07100
"dNH4AUTS1 ","ALKA      ",   4.35700
"dMrtDetNS1","DetNS1    ",   1.00000
"dMrtOONS1 ","OONS1     ",   1.00000
"dPO4AUTS1 ","PO4       ",   1.00000
"dPO4AUTS1 ","H+        ",   0.03200
"dPO4AUTS1 ","ALKA      ",  -1.96800
"dMrtDetPS1","DetPS1    ",   1.00000
"dMrtOOPS1 ","OOPS1     ",   1.00000
"dSiAUTS1  ","Si        ",   1.00000
"dMrtDetSS1","DetSiS1   ",   1.00000
"dMrtOOSS1 ","OOSiS1    ",   1.00000
"dDumOXYMin","OXY       ",   0.00000
"dDumOXYMin","GREEN     ",   0.00000
"dDumOXYMin","DIAT      ",   0.00000
"dOxCon    ","OXY       ",  -2.66700
"dOxCon    ","TIC       ",   1.00000
"dOxCon    ","H2O       ",   1.50000
"dNiDen    ","NO3       ",  -0.93300
"dNiDen    ","TIC       ",   1.00000
"dNiDen    ","H2O       ",   2.10000
"dNiDen    ","H+        ",  -0.06700
"dNiDen    ","Alka      ",   4.06667
"dFeRed    ","FeIIIpa   ", -18.60000
"dFeRed    ","FeIId     ",  18.60000
"dFeRed    ","TIC       ",   1.00000
"dFeRed    ","Alka      ",  40.66670
"dSuRed    ","SO4       ",  -1.33300
"dSuRed    ","SUD       ",   1.33300
"dSuRed    ","TIC       ",   1.00000
"dSuRed    ","H2O       ",   1.50000
"dMetGenCH4","CH4       ",   1.00000
"dMetGenCO2","TIC       ",   1.00000
"dMetEbul  ","CH4       ",  -1.00000
"dVolCH4   ","CH4       ",   1.00000
"dSUDox    ","SUD       ",  -1.00000
"dSUDox    ","OXY       ",  -2.00000
"dSUDox    ","SO4       ",   1.00000
"dSUDprec  ","SUD       ",  -1.00000
"dSUDprec  ","SUP       ",   1.00000
"dSUDdis   ","SUD       ",   1.00000
"dSUDdis   ","SUP       ",  -1.00000
"dMethoxDO ","CH4       ",  -1.00000
"dMethoxDO ","OXY       ",  -5.33000
"dMethoxDO ","TIC       ",   1.00000
