r2_cid,r2_sid
"Sobek     ","dTR4      "
"Sobek     ","cTR5      "
"Sobek     ","dTR5      "
"Sobek     ","TIC       "
"Sobek     ","H+        "
"Sobek     ","H2O       "
"Sobek     ","CBOD5     "
"Sobek     ","CBOD5_2   "
"Sobek     ","CBOD5_3   "
"Sobek     ","CBODu     "
"Sobek     ","CBODu_2   "
"Sobek     ","COD_Cr    "
"Sobek     ","COD_Mn    "
"Sobek     ","NBOD5     "
"Sobek     ","NBODu     "
"Sobek     ","POC1      "
"Sobek     ","POC2      "
"Sobek     ","POC3      "
"Sobek     ","POC4      "
"Sobek     ","DOC       "
"Sobek     ","PON1      "
"Sobek     ","PON2      "
"Sobek     ","PON3      "
"Sobek     ","PON4      "
"Sobek     ","DON       "
"Sobek     ","POP1      "
"Sobek     ","POP2      "
"Sobek     ","POP3      "
"Sobek     ","POP4      "
"Sobek     ","DOP       "
"Sobek     ","POS1      "
"Sobek     ","POS2      "
"Sobek     ","POS3      "
"Sobek     ","POS4      "
"Sobek     ","DOS       "
"Sobek     ","Opal      "
"Sobek     ","MPB1peli  "
"Sobek     ","MPB2psam  "
"Sobek     ","Mnd1Diat-m"
"Sobek     ","Mnd2Flag-m"
"Sobek     ","Mnd3Diat-f"
"Sobek     ","Mnd4Flag-f"
"Sobek     ","BLOOMALG01"
"Sobek     ","BLOOMALG02"
"Sobek     ","BLOOMALG03"
"Sobek     ","BLOOMALG04"
"Sobek     ","BLOOMALG05"
"Sobek     ","BLOOMALG06"
"Sobek     ","BLOOMALG07"
"Sobek     ","BLOOMALG08"
"Sobek     ","BLOOMALG09"
"Sobek     ","BLOOMALG10"
"Sobek     ","BLOOMALG11"
"Sobek     ","BLOOMALG12"
"Sobek     ","BLOOMALG13"
"Sobek     ","BLOOMALG14"
"Sobek     ","BLOOMALG15"
"Sobek     ","BLOOMALG16"
"Sobek     ","BLOOMALG17"
"Sobek     ","BLOOMALG18"
"Sobek     ","BLOOMALG19"
"Sobek     ","BLOOMALG20"
"Sobek     ","BLOOMALG21"
"Sobek     ","BLOOMALG22"
"Sobek     ","BLOOMALG23"
"Sobek     ","BLOOMALG24"
"Sobek     ","BLOOMALG25"
"Sobek     ","BLOOMALG26"
"Sobek     ","BLOOMALG27"
"Sobek     ","BLOOMALG28"
"Sobek     ","BLOOMALG29"
"Sobek     ","BLOOMALG30"
"Sobek     ","OMP       "
"Sobek     ","SO4       "
"Sobek     ","SUD       "
"Sobek     ","SUP       "
"Sobek     ","VIVP      "
"Sobek     ","APATP     "
"Sobek     ","CH4       "
"Sobek     ","CO2       "
"Sobek     ","Alka      "
"Sobek     ","FeIIIpa   "
"Sobek     ","FeIIIpc   "
"Sobek     ","FeIIId    "
"Sobek     ","FeIId     "
"Sobek     ","FeS       "
"Sobek     ","FeS2      "
"Sobek     ","FeCO3     "
"Sobek     ","APHANFIX  "
"Sobek     ","APHANIZO  "
"Sobek     ","BLUEGRN   "
"Sobek     ","DINOFLAG  "
"Sobek     ","DINOMIX   "
"Sobek     ","FDIATOMS  "
"Sobek     ","FFLAGELA  "
"Sobek     ","GREENS    "
"Sobek     ","MDIATOMS  "
"Sobek     ","MFLAGELA  "
"Sobek     ","MICROCYS  "
"Sobek     ","OSCILAT   "
"Sobek     ","PHAEOCYS  "
"Sobek     ","UlvaF     "
"Sobek     ","UlvaS     "
"Sobek     ","NODULA    "
"Sobek     ","ANABAENA  "
"Sobek     ","AlgN      "
"Sobek     ","AlgP      "
"Sobek     ","AlgSi     "
"Sobek     ","IM1S1     "
"Sobek     ","IM2S1     "
"Sobek     ","IM3S1     "
"Sobek     ","OOCS1     "
"Sobek     ","IM1S2     "
"Sobek     ","IM2S2     "
"Sobek     ","IM3S2     "
"Sobek     ","OOCS2     "
"Sobek     ","DetCS1    "
"Sobek     ","DiatS1    "
"Sobek     ","GreenS1   "
"Sobek     ","AAPS1     "
"Sobek     ","DetNS1    "
"Sobek     ","DetPS1    "
"Sobek     ","DetSiS1   "
"Sobek     ","OONS1     "
"Sobek     ","OOPS1     "
"Sobek     ","OOSiS1    "
"Sobek     ","MPB1peliS1"
"Sobek     ","MPB2psamS1"
"Sobek     ","DetCS2    "
"Sobek     ","DiatS2    "
"Sobek     ","GreenS2   "
"Sobek     ","AAPS2     "
"Sobek     ","DetNS2    "
"Sobek     ","DetPS2    "
"Sobek     ","DetSiS2   "
"Sobek     ","OONS2     "
"Sobek     ","OOPS2     "
"Sobek     ","OOSiS2    "
"Sobek     ","MPB1peliS2"
"Sobek     ","MPB2psamS2"
"Sobek     ","POC5      "
"Sobek     ","PON5      "
"Sobek     ","POP5      "
"Sobek     ","POS5      "
"Sobek     ","SOD       "
"Sobek     ","Bulkvolume"
"Sobek     ","Cd-Dis    "
"Sobek     ","Cd-Par    "
"Sobek     ","Cr-Dis    "
"Sobek     ","Cr-Par    "
"Sobek     ","Cu-Dis    "
"Sobek     ","Cu-Par    "
"Sobek     ","Hg-Dis    "
"Sobek     ","Hg-Par    "
"Sobek     ","Ni-Dis    "
"Sobek     ","Ni-Par    "
"Sobek     ","Pb-Dis    "
"Sobek     ","Pb-Par    "
"Sobek     ","As-Dis    "
"Sobek     ","As-Par    "
"Sobek     ","Va-Dis    "
"Sobek     ","Va-Par    "
"Sobek     ","Zn-Dis    "
"Sobek     ","Zn-Par    "
"Sobek     ","CdS1      "
"Sobek     ","CdS1-Dis  "
"Sobek     ","CdS1-Par  "
"Sobek     ","CrS1      "
"Sobek     ","CrS1-Dis  "
"Sobek     ","CrS1-Par  "
"Sobek     ","CuS1      "
"Sobek     ","CuS1-Dis  "
"Sobek     ","CuS1-Par  "
"Sobek     ","HgS1      "
"Sobek     ","HgS1-Dis  "
"Sobek     ","HgS1-Par  "
"Sobek     ","NiS1      "
"Sobek     ","NiS1-Dis  "
"Sobek     ","NiS1-Par  "
"Sobek     ","PbS1      "
"Sobek     ","PbS1-Dis  "
"Sobek     ","PbS1-Par  "
"Sobek     ","AsS1      "
"Sobek     ","AsS1-Dis  "
"Sobek     ","AsS1-Par  "
"Sobek     ","VaS1      "
"Sobek     ","VaS1-Dis  "
"Sobek     ","VaS1-Par  "
"Sobek     ","ZnS1      "
"Sobek     ","ZnS1-Dis  "
"Sobek     ","ZnS1-Par  "
"Sobek     ","CdS2      "
"Sobek     ","CdS2-Dis  "
"Sobek     ","CdS2-Par  "
"Sobek     ","CrS2      "
"Sobek     ","CrS2-Dis  "
"Sobek     ","CrS2-Par  "
"Sobek     ","CuS2      "
"Sobek     ","CuS2-Dis  "
"Sobek     ","CuS2-Par  "
"Sobek     ","HgS2      "
"Sobek     ","HgS2-Dis  "
"Sobek     ","HgS2-Par  "
"Sobek     ","NiS2      "
"Sobek     ","NiS2-Dis  "
"Sobek     ","NiS2-Par  "
"Sobek     ","PbS2      "
"Sobek     ","PbS2-Dis  "
"Sobek     ","PbS2-Par  "
"Sobek     ","AsS2      "
"Sobek     ","AsS2-Dis  "
"Sobek     ","AsS2-Par  "
"Sobek     ","VaS2      "
"Sobek     ","VaS2-Dis  "
"Sobek     ","VaS2-Par  "
"Sobek     ","ZnS2      "
"Sobek     ","ZnS2-Dis  "
"Sobek     ","ZnS2-Par  "
"Sobek     ","153S1     "
"Sobek     ","153S1-Dis "
"Sobek     ","153S1-Par "
"Sobek     ","AtrS1     "
"Sobek     ","AtrS1-Dis "
"Sobek     ","AtrS1-Par "
"Sobek     ","BaPS1     "
"Sobek     ","BaPS1-Dis "
"Sobek     ","BaPS1-Par "
"Sobek     ","DiuS1     "
"Sobek     ","DiuS1-Dis "
"Sobek     ","DiuS1-Par "
"Sobek     ","FluS1     "
"Sobek     ","FluS1-Dis "
"Sobek     ","FluS1-Par "
"Sobek     ","HCBS1     "
"Sobek     ","HCBS1-Dis "
"Sobek     ","HCBS1-Par "
"Sobek     ","HCHS1     "
"Sobek     ","HCHS1-Dis "
"Sobek     ","HCHS1-Par "
"Sobek     ","MefS1     "
"Sobek     ","MefS1-Dis "
"Sobek     ","MefS1-Par "
"Sobek     ","153S2     "
"Sobek     ","153S2-Dis "
"Sobek     ","153S2-Par "
"Sobek     ","AtrS2     "
"Sobek     ","AtrS2-Dis "
"Sobek     ","AtrS2-Par "
"Sobek     ","BaPS2     "
"Sobek     ","BaPS2-Dis "
"Sobek     ","BaPS2-Par "
"Sobek     ","DiuS2     "
"Sobek     ","DiuS2-Dis "
"Sobek     ","DiuS2-Par "
"Sobek     ","FluS2     "
"Sobek     ","FluS2-Dis "
"Sobek     ","FluS2-Par "
"Sobek     ","HCBS2     "
"Sobek     ","HCBS2-Dis "
"Sobek     ","HCBS2-Par "
"Sobek     ","HCHS2     "
"Sobek     ","HCHS2-Dis "
"Sobek     ","HCHS2-Par "
"Sobek     ","MefS2     "
"Sobek     ","MefS2-Dis "
"Sobek     ","MefS2-Par "
"Sobek     ","153-dis   "
"Sobek     ","153-par   "
"Sobek     ","Atr-dis   "
"Sobek     ","Atr-par   "
"Sobek     ","BaP-dis   "
"Sobek     ","BaP-par   "
"Sobek     ","Diu-dis   "
"Sobek     ","Diu-par   "
"Sobek     ","Flu-dis   "
"Sobek     ","Flu-par   "
"Sobek     ","HCB-dis   "
"Sobek     ","HCB-par   "
"Sobek     ","HCH-dis   "
"Sobek     ","HCH-par   "
"Sobek     ","Mef-dis   "
"Sobek     ","Mef-par   "
"Sobek     ","POSi1     "
"Sobek     ","NH3       "
"Sobek     ","OMPS1     "
"Sobek     ","OMPS1-Dis "
"Sobek     ","OMPS1-Par "
"Sobek     ","OMPS2     "
"Sobek     ","OMPS2-Dis "
"Sobek     ","OMPS2-Par "
"Sobek     ","OMP-dis   "
"Sobek     ","OMP-par   "
"Sobek     ","VB01      "
"Sobek     ","VB02      "
"Sobek     ","VB03      "
"Sobek     ","VB04      "
"Sobek     ","VB05      "
"Sobek     ","VB06      "
"Sobek     ","VB07      "
"Sobek     ","VB08      "
"Sobek     ","VB09      "
"WAQ       ","Continuity"
"WAQ       ","ModTemp   "
"WAQ       ","FrCon     "
"WAQ       ","FrFlow    "
"WAQ       ","SalBnd    "
"WAQ       ","Salinity  "
"WAQ       ","Cl        "
"WAQ       ","IM1       "
"WAQ       ","IM2       "
"WAQ       ","IM3       "
"WAQ       ","Cd        "
"WAQ       ","Cu        "
"WAQ       ","Zn        "
"WAQ       ","Cr        "
"WAQ       ","Hg        "
"WAQ       ","Pb        "
"WAQ       ","As        "
"WAQ       ","Va        "
"WAQ       ","Ni        "
"WAQ       ","BODC      "
"WAQ       ","NO3       "
"WAQ       ","NH4       "
"WAQ       ","DetN      "
"WAQ       ","PO4       "
"WAQ       ","AAP       "
"WAQ       ","DetP      "
"WAQ       ","Si        "
"WAQ       ","DetSi     "
"WAQ       ","OXY       "
"WAQ       ","TColi     "
"WAQ       ","EColi     "
"WAQ       ","FColi     "
"WAQ       ","EnCoc     "
"WAQ       ","153       "
"WAQ       ","ATR       "
"WAQ       ","BaP       "
"WAQ       ","Flu       "
"WAQ       ","Mef       "
"WAQ       ","Diu       "
"WAQ       ","HCH       "
"WAQ       ","HCB       "
"WAQ       ","cTR1      "
"WAQ       ","dTR1      "
"WAQ       ","cTR2      "
"WAQ       ","dTR2      "
"WAQ       ","cTR3      "
"WAQ       ","dTR3      "
"WAQ       ","cTR4      "
"WAQ       ","dTR4      "
"WAQ       ","cTR5      "
"WAQ       ","dTR5      "
"WAQ       ","TIC       "
"WAQ       ","H+        "
"WAQ       ","H2O       "
"WAQ       ","CBOD5     "
"WAQ       ","CBOD5_2   "
"WAQ       ","CBOD5_3   "
"WAQ       ","CBODu     "
"WAQ       ","CBODu_2   "
"WAQ       ","COD_Cr    "
"WAQ       ","COD_Mn    "
"WAQ       ","NBOD5     "
"WAQ       ","NBODu     "
"WAQ       ","POC1      "
"WAQ       ","POC2      "
"WAQ       ","POC3      "
"WAQ       ","POC4      "
"WAQ       ","DOC       "
"WAQ       ","PON1      "
"WAQ       ","PON2      "
"WAQ       ","PON3      "
"WAQ       ","PON4      "
"WAQ       ","DON       "
"WAQ       ","POP1      "
"WAQ       ","POP2      "
"WAQ       ","POP3      "
"WAQ       ","POP4      "
"WAQ       ","DOP       "
"WAQ       ","POS1      "
"WAQ       ","POS2      "
"WAQ       ","POS3      "
"WAQ       ","POS4      "
"WAQ       ","DOS       "
"WAQ       ","Opal      "
"WAQ       ","MPB1peli  "
"WAQ       ","MPB2psam  "
"WAQ       ","Mnd1Diat-m"
"WAQ       ","Mnd2Flag-m"
"WAQ       ","Mnd3Diat-f"
"WAQ       ","Mnd4Flag-f"
"WAQ       ","OMP       "
"WAQ       ","SO4       "
"WAQ       ","SUD       "
"WAQ       ","SUP       "
"WAQ       ","VIVP      "
"WAQ       ","APATP     "
"WAQ       ","CH4       "
"WAQ       ","CO2       "
"WAQ       ","Alka      "
"WAQ       ","FeIIIpa   "
"WAQ       ","FeIIIpc   "
"WAQ       ","FeIIId    "
"WAQ       ","FeIId     "
"WAQ       ","FeS       "
"WAQ       ","FeS2      "
"WAQ       ","FeCO3     "
"WAQ       ","APHANFIX  "
"WAQ       ","APHANIZO  "
"WAQ       ","BLUEGRN   "
"WAQ       ","DINOFLAG  "
"WAQ       ","DINOMIX   "
"WAQ       ","FDIATOMS  "
"WAQ       ","FFLAGELA  "
"WAQ       ","GREENS    "
"WAQ       ","MDIATOMS  "
"WAQ       ","MFLAGELA  "
"WAQ       ","MICROCYS  "
"WAQ       ","OSCILAT   "
"WAQ       ","PHAEOCYS  "
"WAQ       ","UlvaF     "
"WAQ       ","UlvaS     "
"WAQ       ","NODULA    "
"WAQ       ","ANABAENA  "
"WAQ       ","AlgN      "
"WAQ       ","AlgP      "
"WAQ       ","AlgSi     "
"WAQ       ","IM1S1     "
"WAQ       ","IM2S1     "
"WAQ       ","IM3S1     "
"WAQ       ","OOCS1     "
"WAQ       ","IM1S2     "
