old_name,new_name,old_default,configuration,serial,action_type
"Res_MPB2  ","S12traMPB2",    0.00000    ,"          ",2012032801,         1
"BurS1_IM1 ","S12traIM1 ",    0.00000    ,"          ",2012032801,         1
"BurS1_IM2 ","S12traIM2 ",    0.00000    ,"          ",2012032801,         1
"BurS1_IM3 ","S12traIM3 ",    0.00000    ,"          ",2012032801,         1
"BurS1_Diat","S12traDiat",    0.00000    ,"          ",2012032801,         1
"BurS1_DetC","S12traDetC",    0.00000    ,"          ",2012032801,         1
"BurS1_OOC ","S12traOOC ",    0.00000    ,"          ",2012032801,         1
"BurS1_Gree","S12traGree",    0.00000    ,"          ",2012032801,         1
"BurS1_AAP ","S12traAAP ",    0.00000    ,"          ",2012032801,         1
"BurS2_IM1 ","S12traIM1 ",    0.00000    ,"          ",2012032801,         1
"BurS2_IM2 ","S12traIM2 ",    0.00000    ,"          ",2012032801,         1
"BurS2_IM3 ","S12traIM3 ",    0.00000    ,"          ",2012032801,         1
"BurS2_DetC","S12traDetC",    0.00000    ,"          ",2012032801,         1
"BurS2_OOC ","S12traOOC ",    0.00000    ,"          ",2012032801,         1
"BurS2_Diat","S12traDiat",    0.00000    ,"          ",2012032801,         1
"BurS2_Gree","S12traGree",    0.00000    ,"          ",2012032801,         1
"BurS2_AAP ","S12traAAP ",    0.00000    ,"          ",2012032801,         1
"DigS1_IM1 ","S12traIM1 ",    0.00000    ,"          ",2012032801,         1
"DigS1_IM2 ","S12traIM2 ",    0.00000    ,"          ",2012032801,         1
"DigS1_IM3 ","S12traIM3 ",    0.00000    ,"          ",2012032801,         1
"DigS1_DetC","S12traDetC",    0.00000    ,"          ",2012032801,         1
"DigS1_OOC ","S12traOOC ",    0.00000    ,"          ",2012032801,         1
"DigS1_Diat","S12traDiat",    0.00000    ,"          ",2012032801,         1
"DigS1_Gree","S12traGree",    0.00000    ,"          ",2012032801,         1
"DigS1_AAP ","S12traAAP ",    0.00000    ,"          ",2012032801,         1
"DigS2_IM1 ","S12traIM1 ",    0.00000    ,"          ",2012032801,         1
"DigS2_IM2 ","S12traIM2 ",    0.00000    ,"          ",2012032801,         1
"DigS2_IM3 ","S12traIM3 ",    0.00000    ,"          ",2012032801,         1
"DigS2_DetC","S12traDetC",    0.00000    ,"          ",2012032801,         1
"DigS2_OOC ","S12traOOC ",    0.00000    ,"          ",2012032801,         1
"DigS2_Diat","S12traDiat",    0.00000    ,"          ",2012032801,         1
"DigS2_Gree","S12traGree",    0.00000    ,"          ",2012032801,         1
"DigS2_AAP ","S12traAAP ",    0.00000    ,"          ",2012032801,         1
"ResN_Det  ","S12traDetN",    0.00000    ,"          ",2012032801,         1
"ResN_Det  ","S12traDetP",    0.00000    ,"          ",2012032801,         4
"ResN_Det  ","S12traDetS",    0.00000    ,"          ",2012032801,         4
"ResN_Dia  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"ResN_Dia  ","n.a.      ",    1.00000    ,"          ",2012032801,         5
"ResN_OO   ","S12traOON ",    0.00000    ,"          ",2012032801,         1
"ResN_OO   ","S12traOOP ",    0.00000    ,"          ",2012032801,         4
"BurS1N_Dia","n.a.      ",    0.00000    ,"          ",2012032801,         5
"BurS1N_Det","S12traDetN",    0.00000    ,"          ",2012032801,         1
"BurS1N_Det","S12traDetP",    0.00000    ,"          ",2012032801,         4
"BurS1N_Det","S12traDetS",    0.00000    ,"          ",2012032801,         4
"BurS1N_OO ","S12traOON ",    0.00000    ,"          ",2012032801,         1
"BurS1N_OO ","S12traOOP ",    0.00000    ,"          ",2012032801,         4
"BurS2N_Det","S12traDetN",    0.00000    ,"          ",2012032801,         1
"BurS2N_Det","S12traDetP",    0.00000    ,"          ",2012032801,         4
"BurS2N_Det","S12traDetS",    0.00000    ,"          ",2012032801,         4
"BurS2N_OO ","S12traOON ",    0.00000    ,"          ",2012032801,         1
"BurS2N_OO ","S12traOOP ",    0.00000    ,"          ",2012032801,         4
"DigS1N_Det","S12traDetN",    0.00000    ,"          ",2012032801,         1
"DigS1N_Det","S12traDetP",    0.00000    ,"          ",2012032801,         4
"DigS1N_Det","S12traDetS",    0.00000    ,"          ",2012032801,         4
"DigS1N_OO ","S12traOON ",    0.00000    ,"          ",2012032801,         1
"DigS1N_OO ","S12traOOP ",    0.00000    ,"          ",2012032801,         4
"DigS2N_Det","S12traDetN",    0.00000    ,"          ",2012032801,         1
"DigS2N_Det","S12traDetP",    0.00000    ,"          ",2012032801,         4
"DigS2N_Det","S12traDetS",    0.00000    ,"          ",2012032801,         4
"DigS2N_OO ","S12traOON ",    0.00000    ,"          ",2012032801,         1
"DigS2N_OO ","S12traOOP ",    0.00000    ,"          ",2012032801,         4
